date,hive_1
2014-03-11-20-30,61
2014-03-11-20-30,62
2014-03-11-20-30,64
2014-03-11-20-30,67
2014-03-11-20-30,71
2014-03-11-20-30,76
2014-03-11-20-30,8
2014-03-11-20-30,83
2014-03-11-20-30,93
2014-03-11-20-31,1
2014-03-11-20-31,17
2014-03-11-20-31,2
2014-03-11-20-31,2
2014-03-11-20-31,23
2014-03-11-20-31,24
2014-03-11-20-31,26
2014-03-11-20-31,3
2014-03-11-20-31,34
2014-03-11-20-31,36
2014-03-11-20-31,37
2014-03-11-20-31,42
2014-03-11-20-31,43
2014-03-11-20-31,46
2014-03-11-20-31,5
2014-03-11-20-31,62
2014-03-11-20-31,64
2014-03-11-20-31,64
2014-03-11-20-31,64
2014-03-11-20-31,66
2014-03-11-20-31,74
2014-03-11-20-31,77
2014-03-11-20-31,78
2014-03-11-20-31,84
2014-03-11-20-31,84
2014-03-11-20-31,89
2014-03-11-20-31,89
2014-03-11-20-31,97
2014-03-11-20-32,1
2014-03-11-20-32,19
2014-03-11-20-32,32
2014-03-11-20-32,33
2014-03-11-20-32,59
2014-03-11-20-32,60
2014-03-11-20-32,84
2014-03-11-20-32,94
2014-03-11-20-34,0
2014-03-11-20-34,11
2014-03-11-20-34,17
2014-03-11-20-34,20
2014-03-11-20-34,21
2014-03-11-20-34,22
2014-03-11-20-34,24
2014-03-11-20-34,27
2014-03-11-20-34,39
2014-03-11-20-34,4
2014-03-11-20-34,40
2014-03-11-20-34,47
2014-03-11-20-34,48
2014-03-11-20-34,49
2014-03-11-20-34,55
2014-03-11-20-34,72
2014-03-11-20-34,72
2014-03-11-20-34,76
2014-03-11-20-34,8
2014-03-11-20-34,92
2014-03-11-20-35,0
2014-03-11-20-35,1
2014-03-11-20-35,100
2014-03-11-20-35,100
2014-03-11-20-35,11
2014-03-11-20-35,12
2014-03-11-20-35,14
2014-03-11-20-35,14
2014-03-11-20-35,19
2014-03-11-20-35,22
2014-03-11-20-35,23
2014-03-11-20-35,30
2014-03-11-20-35,33
2014-03-11-20-35,38
2014-03-11-20-35,47
2014-03-11-20-35,53
2014-03-11-20-35,59
2014-03-11-20-35,59
2014-03-11-20-35,6
2014-03-11-20-35,60
2014-03-11-20-35,64
2014-03-11-20-35,65
2014-03-11-20-35,68
2014-03-11-20-35,70
2014-03-11-20-35,75
2014-03-11-20-35,79
2014-03-11-20-35,87
2014-03-11-20-35,87
2014-03-11-20-35,89
2014-03-11-20-35,92
2014-03-11-20-36,11
2014-03-11-20-36,12
2014-03-11-20-36,14
2014-03-11-20-36,18
2014-03-11-20-36,19
2014-03-11-20-36,23
2014-03-11-20-36,26
2014-03-11-20-36,3
2014-03-11-20-36,30
2014-03-11-20-36,38
2014-03-11-20-36,40
2014-03-11-20-36,40
2014-03-11-20-36,41
2014-03-11-20-36,43
2014-03-11-20-36,52
2014-03-11-20-36,55
2014-03-11-20-36,55
2014-03-11-20-36,56
2014-03-11-20-36,6
2014-03-11-20-36,65
2014-03-11-20-36,66
2014-03-11-20-36,72
2014-03-11-20-36,74
2014-03-11-20-36,78
2014-03-11-20-36,78
2014-03-11-20-36,79
2014-03-11-20-36,80
2014-03-11-20-36,83
2014-03-11-20-36,95
2014-03-11-20-36,95
2014-03-11-20-36,99
2014-03-11-20-37,100
2014-03-11-20-37,12
2014-03-11-20-37,15
2014-03-11-20-37,17
2014-03-11-20-37,33
2014-03-11-20-37,40
2014-03-11-20-37,41
2014-03-11-20-37,45
2014-03-11-20-37,49
2014-03-11-20-37,5
2014-03-11-20-37,52
2014-03-11-20-37,57
2014-03-11-20-37,57
2014-03-11-20-37,59
2014-03-11-20-37,6
2014-03-11-20-37,60
2014-03-11-20-37,67
2014-03-11-20-37,68
2014-03-11-20-37,69
2014-03-11-20-37,74
2014-03-11-20-37,85
2014-03-11-20-37,86
2014-03-11-20-37,89
2014-03-11-20-37,9
2014-03-11-20-37,96
2014-03-11-20-37,99
2014-03-11-20-38,100
2014-03-11-20-38,23
2014-03-11-20-38,24
2014-03-11-20-38,24
2014-03-11-20-38,32
2014-03-11-20-38,33
2014-03-11-20-38,33
2014-03-11-20-38,33
2014-03-11-20-38,38
2014-03-11-20-38,41
2014-03-11-20-38,44
2014-03-11-20-38,57
2014-03-11-20-38,59
2014-03-11-20-38,6
2014-03-11-20-38,62
2014-03-11-20-38,62
2014-03-11-20-38,68
2014-03-11-20-38,69
2014-03-11-20-38,73
2014-03-11-20-38,77
2014-03-11-20-38,80
2014-03-11-20-38,85
2014-03-11-20-38,89
2014-03-11-20-38,90
2014-03-11-20-38,90
2014-03-11-20-38,98
2014-03-11-20-38,99
2014-03-11-20-38,99
2014-03-11-20-39,0
2014-03-11-20-39,10
2014-03-11-20-39,21
2014-03-11-20-39,21
2014-03-11-20-39,24
2014-03-11-20-39,24
2014-03-11-20-39,29
2014-03-11-20-39,30
2014-03-11-20-39,30
2014-03-11-20-39,30
2014-03-11-20-39,34
2014-03-11-20-39,35
2014-03-11-20-39,38
2014-03-11-20-39,43
2014-03-11-20-39,46
2014-03-11-20-39,47
2014-03-11-20-39,51
2014-03-11-20-39,52
2014-03-11-20-39,61
2014-03-11-20-39,63
2014-03-11-20-39,66
2014-03-11-20-39,70
2014-03-11-20-39,77
2014-03-11-20-39,79
2014-03-11-20-39,80
2014-03-11-20-39,82
2014-03-11-20-39,85
2014-03-11-20-39,96
2014-03-11-20-39,98
2014-03-11-20-40,10
2014-03-11-20-40,13
2014-03-11-20-40,14
2014-03-11-20-40,19
2014-03-11-20-40,20
2014-03-11-20-40,28
2014-03-11-20-40,28
2014-03-11-20-40,34
2014-03-11-20-40,36
2014-03-11-20-40,37
2014-03-11-20-40,40
2014-03-11-20-40,46
2014-03-11-20-40,47
2014-03-11-20-40,48
2014-03-11-20-40,51
2014-03-11-20-40,53
2014-03-11-20-40,53
2014-03-11-20-40,53
2014-03-11-20-40,53
2014-03-11-20-40,55
2014-03-11-20-40,6
2014-03-11-20-40,66
2014-03-11-20-40,67
2014-03-11-20-40,68
2014-03-11-20-40,69
2014-03-11-20-40,76
2014-03-11-20-40,9
2014-03-11-20-40,95
2014-03-11-20-40,97
2014-03-11-20-40,98
2014-03-11-20-41,12
2014-03-11-20-41,19
2014-03-11-20-41,2
2014-03-11-20-41,21
2014-03-11-20-41,27
2014-03-11-20-41,34
2014-03-11-20-41,37
2014-03-11-20-41,38
2014-03-11-20-41,4
2014-03-11-20-41,51
2014-03-11-20-41,51
2014-03-11-20-41,55
2014-03-11-20-41,61
2014-03-11-20-41,63
2014-03-11-20-41,65
2014-03-11-20-41,67
2014-03-11-20-41,71
2014-03-11-20-41,72
2014-03-11-20-41,75
2014-03-11-20-41,76
2014-03-11-20-41,79
2014-03-11-20-41,83
2014-03-11-20-41,89
2014-03-11-20-41,95
2014-03-11-20-41,95
2014-03-11-20-42,1
2014-03-11-20-42,18
2014-03-11-20-42,19
2014-03-11-20-42,23
2014-03-11-20-42,27
2014-03-11-20-42,3
2014-03-11-20-42,30
2014-03-11-20-42,33
2014-03-11-20-42,36
2014-03-11-20-42,41
2014-03-11-20-42,45
2014-03-11-20-42,49
2014-03-11-20-42,51
2014-03-11-20-42,57
2014-03-11-20-42,59
2014-03-11-20-42,59
2014-03-11-20-42,65
2014-03-11-20-42,65
2014-03-11-20-42,67
2014-03-11-20-42,69
2014-03-11-20-42,71
2014-03-11-20-42,76
2014-03-11-20-42,78
2014-03-11-20-42,81
2014-03-11-20-42,84
2014-03-11-20-42,84
2014-03-11-20-42,84
2014-03-11-20-42,88
2014-03-11-20-42,92
2014-03-11-20-42,94
2014-03-11-20-43,12
2014-03-11-20-43,18
2014-03-11-20-43,20
2014-03-11-20-43,24
2014-03-11-20-43,37
2014-03-11-20-43,39
2014-03-11-20-43,46
2014-03-11-20-43,73
2014-03-11-20-43,91
2014-03-11-20-43,92
2014-03-11-20-43,93
2014-03-11-20-48,12
2014-03-11-20-48,21
2014-03-11-20-48,3
2014-03-11-20-48,30
2014-03-11-20-48,37
2014-03-11-20-48,38
2014-03-11-20-48,39
2014-03-11-20-48,40
2014-03-11-20-48,40
2014-03-11-20-48,50
2014-03-11-20-48,71
2014-03-11-20-48,77
2014-03-11-20-48,78
2014-03-11-20-48,80
2014-03-11-20-48,92
2014-03-11-20-49,1
2014-03-11-20-49,11
2014-03-11-20-49,22
2014-03-11-20-49,22
2014-03-11-20-49,22
2014-03-11-20-49,3
2014-03-11-20-49,31
2014-03-11-20-49,32
2014-03-11-20-49,33
2014-03-11-20-49,39
2014-03-11-20-49,39
2014-03-11-20-49,5
2014-03-11-20-49,55
2014-03-11-20-49,55
2014-03-11-20-49,60
2014-03-11-20-49,60
2014-03-11-20-49,61
2014-03-11-20-49,69
2014-03-11-20-49,70
2014-03-11-20-49,75
2014-03-11-20-49,78
2014-03-11-20-49,79
2014-03-11-20-49,8
2014-03-11-20-49,80
2014-03-11-20-49,81
2014-03-11-20-49,82
2014-03-11-20-49,92
2014-03-11-20-49,96
2014-03-11-20-50,1
2014-03-11-20-50,1
2014-03-11-20-50,11
2014-03-11-20-50,11
2014-03-11-20-50,12
2014-03-11-20-50,13
2014-03-11-20-50,16
2014-03-11-20-50,17
2014-03-11-20-50,18
2014-03-11-20-50,21
2014-03-11-20-50,22
2014-03-11-20-50,28
2014-03-11-20-50,41
2014-03-11-20-50,44
2014-03-11-20-50,5
2014-03-11-20-50,52
2014-03-11-20-50,53
2014-03-11-20-50,57
2014-03-11-20-50,59
2014-03-11-20-50,6
2014-03-11-20-50,60
2014-03-11-20-50,62
2014-03-11-20-50,63
2014-03-11-20-50,63
2014-03-11-20-50,69
2014-03-11-20-50,70
2014-03-11-20-50,70
2014-03-11-20-50,71
2014-03-11-20-50,77
2014-03-11-20-50,81
2014-03-11-20-50,82
2014-03-11-20-50,85
2014-03-11-20-51,12
2014-03-11-20-51,14
2014-03-11-20-51,17
2014-03-11-20-51,18
2014-03-11-20-51,25
2014-03-11-20-51,25
2014-03-11-20-51,26
2014-03-11-20-51,27
2014-03-11-20-51,28
2014-03-11-20-51,29
2014-03-11-20-51,35
2014-03-11-20-51,49
2014-03-11-20-51,50
2014-03-11-20-51,53
2014-03-11-20-51,58
2014-03-11-20-51,62
2014-03-11-20-51,63
2014-03-11-20-51,67
2014-03-11-20-51,67
2014-03-11-20-51,68
2014-03-11-20-51,68
2014-03-11-20-51,70
2014-03-11-20-51,74
2014-03-11-20-51,80
2014-03-11-20-51,84
2014-03-11-20-51,88
2014-03-11-20-51,90
2014-03-11-20-51,91
2014-03-11-20-51,98
2014-03-11-20-52,10
2014-03-11-20-52,13
2014-03-11-20-52,14
2014-03-11-20-52,17
2014-03-11-20-52,17
2014-03-11-20-52,18
2014-03-11-20-52,19
2014-03-11-20-52,27
2014-03-11-20-52,40
2014-03-11-20-52,40
2014-03-11-20-52,45
2014-03-11-20-52,47
2014-03-11-20-52,5
2014-03-11-20-52,5
2014-03-11-20-52,50
2014-03-11-20-52,52
2014-03-11-20-52,57
2014-03-11-20-52,58
2014-03-11-20-52,61
2014-03-11-20-52,62
2014-03-11-20-52,67
2014-03-11-20-52,79
2014-03-11-20-52,80
2014-03-11-20-52,82
2014-03-11-20-52,85
2014-03-11-20-52,93
2014-03-11-20-52,99
2014-03-11-20-53,11
2014-03-11-20-53,12
2014-03-11-20-53,15
2014-03-11-20-53,15
2014-03-11-20-53,2
2014-03-11-20-53,29
2014-03-11-20-53,30
2014-03-11-20-53,33
2014-03-11-20-53,34
2014-03-11-20-53,42
2014-03-11-20-53,45
2014-03-11-20-53,45
2014-03-11-20-53,5
2014-03-11-20-53,55
2014-03-11-20-53,67
2014-03-11-20-53,71
2014-03-11-20-53,72
2014-03-11-20-53,78
2014-03-11-20-53,82
2014-03-11-20-53,82
2014-03-11-20-53,85
2014-03-11-20-53,86
2014-03-11-20-53,94
2014-03-11-20-53,99
2014-03-11-20-54,1
2014-03-11-20-54,12
2014-03-11-20-54,12
2014-03-11-20-54,14
2014-03-11-20-54,15
2014-03-11-20-54,17
2014-03-11-20-54,18
2014-03-11-20-54,2
2014-03-11-20-54,21
2014-03-11-20-54,23
2014-03-11-20-54,28
2014-03-11-20-54,29
2014-03-11-20-54,33
2014-03-11-20-54,34
2014-03-11-20-54,35
2014-03-11-20-54,39
2014-03-11-20-54,39
2014-03-11-20-54,43
2014-03-11-20-54,44
2014-03-11-20-54,47
2014-03-11-20-54,5
2014-03-11-20-54,52
2014-03-11-20-54,52
2014-03-11-20-54,53
2014-03-11-20-54,57
2014-03-11-20-54,58
2014-03-11-20-54,65
2014-03-11-20-54,66
2014-03-11-20-54,73
2014-03-11-20-54,8
2014-03-11-20-54,98
2014-03-11-20-54,99
2014-03-11-20-54,99
2014-03-11-20-55,1
2014-03-11-20-55,13
2014-03-11-20-55,14
2014-03-11-20-55,29
2014-03-11-20-55,31
2014-03-11-20-55,34
2014-03-11-20-55,39
2014-03-11-20-55,41
2014-03-11-20-55,44
2014-03-11-20-55,45
2014-03-11-20-55,51
2014-03-11-20-55,6
2014-03-11-20-55,60
2014-03-11-20-55,64
2014-03-11-20-55,65
2014-03-11-20-55,68
2014-03-11-20-55,70
2014-03-11-20-55,73
2014-03-11-20-55,76
2014-03-11-20-55,86
2014-03-11-20-55,9
2014-03-11-20-55,91
2014-03-11-20-55,94
2014-03-11-20-55,96
2014-03-11-20-55,96
2014-03-11-20-56,0
2014-03-11-20-56,1
2014-03-11-20-56,17
2014-03-11-20-56,17
2014-03-11-20-56,17
2014-03-11-20-56,19
2014-03-11-20-56,23
2014-03-11-20-56,28
2014-03-11-20-56,29
2014-03-11-20-56,32
2014-03-11-20-56,33
2014-03-11-20-56,38
2014-03-11-20-56,48
2014-03-11-20-56,48
2014-03-11-20-56,51
2014-03-11-20-56,55
2014-03-11-20-56,57
2014-03-11-20-56,60
2014-03-11-20-56,64
2014-03-11-20-56,78
2014-03-11-20-56,89
2014-03-11-20-58,29
2014-03-11-20-58,31
2014-03-11-20-58,36
2014-03-11-20-58,44
2014-03-11-20-58,58
2014-03-11-20-58,63
2014-03-11-20-59,14
2014-03-11-20-59,18
2014-03-11-20-59,20
2014-03-11-20-59,22
2014-03-11-20-59,25
2014-03-11-20-59,30
2014-03-11-20-59,31
2014-03-11-20-59,33
2014-03-11-20-59,37
2014-03-11-20-59,39
2014-03-11-20-59,42
2014-03-11-20-59,43
2014-03-11-20-59,50
2014-03-11-20-59,55
2014-03-11-20-59,62
2014-03-11-20-59,63
2014-03-11-20-59,65
2014-03-11-20-59,73
2014-03-11-20-59,75
2014-03-11-20-59,75
2014-03-11-20-59,79
2014-03-11-20-59,79
2014-03-11-20-59,8
2014-03-11-20-59,84
2014-03-11-20-59,87
2014-03-11-20-59,90
2014-03-11-20-59,92
2014-03-11-20-59,98
2014-03-11-21-00,0
2014-03-11-21-00,1
2014-03-11-21-00,100
2014-03-11-21-00,100
2014-03-11-21-00,14
2014-03-11-21-00,17
2014-03-11-21-00,18
2014-03-11-21-00,2
2014-03-11-21-00,24
2014-03-11-21-00,29
2014-03-11-21-00,31
2014-03-11-21-00,34
2014-03-11-21-00,34
2014-03-11-21-00,35
2014-03-11-21-00,41
2014-03-11-21-00,51
2014-03-11-21-00,55
2014-03-11-21-00,63
2014-03-11-21-00,64
2014-03-11-21-00,64
2014-03-11-21-00,69
2014-03-11-21-00,75
2014-03-11-21-00,76
2014-03-11-21-00,80
2014-03-11-21-00,83
2014-03-11-21-00,84
2014-03-11-21-00,84
2014-03-11-21-00,89
2014-03-11-21-00,9
2014-03-11-21-00,95
2014-03-11-21-00,97
2014-03-11-21-00,98
2014-03-11-21-00,99
2014-03-11-21-01,0
2014-03-11-21-01,1
2014-03-11-21-01,100
2014-03-11-21-01,18
2014-03-11-21-01,18
2014-03-11-21-01,20
2014-03-11-21-01,25
2014-03-11-21-01,30
2014-03-11-21-01,36
2014-03-11-21-01,44
2014-03-11-21-01,45
2014-03-11-21-01,48
2014-03-11-21-01,5
2014-03-11-21-01,50
2014-03-11-21-01,52
2014-03-11-21-01,54
2014-03-11-21-01,55
2014-03-11-21-01,55
2014-03-11-21-01,55
2014-03-11-21-01,61
2014-03-11-21-01,67
2014-03-11-21-01,73
2014-03-11-21-01,78
2014-03-11-21-01,87
2014-03-11-21-01,88
2014-03-11-21-01,91
2014-03-11-21-02,11
2014-03-11-21-02,19
2014-03-11-21-02,31
2014-03-11-21-02,39
2014-03-11-21-02,40
2014-03-11-21-02,45
2014-03-11-21-02,47
2014-03-11-21-02,49
2014-03-11-21-02,54
2014-03-11-21-02,58
2014-03-11-21-02,59
2014-03-11-21-02,6
2014-03-11-21-02,64
2014-03-11-21-02,72
2014-03-11-21-02,79
2014-03-11-21-02,79
2014-03-11-21-02,83
2014-03-11-21-02,86
2014-03-11-21-02,91
2014-03-11-21-02,98
2014-03-11-21-02,98
2014-03-11-21-03,29
2014-03-11-21-03,44
2014-03-11-21-03,53
2014-03-11-21-03,64
2014-03-11-21-03,69
2014-03-11-21-03,76
2014-03-11-21-03,77
2014-03-11-21-03,77
2014-03-11-21-04,13
2014-03-11-21-04,18
2014-03-11-21-04,2
2014-03-11-21-04,20
2014-03-11-21-04,23
2014-03-11-21-04,23
2014-03-11-21-04,24
2014-03-11-21-04,26
2014-03-11-21-04,29
2014-03-11-21-04,3
2014-03-11-21-04,31
2014-03-11-21-04,33
2014-03-11-21-04,33
2014-03-11-21-04,35
2014-03-11-21-04,39
2014-03-11-21-04,43
2014-03-11-21-04,43
2014-03-11-21-04,50
2014-03-11-21-04,57
2014-03-11-21-04,6
2014-03-11-21-04,60
2014-03-11-21-04,65
2014-03-11-21-04,76
2014-03-11-21-04,79
2014-03-11-21-04,81
2014-03-11-21-04,82
2014-03-11-21-04,82
2014-03-11-21-04,91
2014-03-11-21-04,97
2014-03-11-21-04,98
2014-03-11-21-05,100
2014-03-11-21-05,13
2014-03-11-21-05,15
2014-03-11-21-05,15
2014-03-11-21-05,19
2014-03-11-21-05,19
2014-03-11-21-05,24
2014-03-11-21-05,26
2014-03-11-21-05,27
2014-03-11-21-05,29
2014-03-11-21-05,3
2014-03-11-21-05,32
2014-03-11-21-05,34
2014-03-11-21-05,45
2014-03-11-21-05,47
2014-03-11-21-05,56
2014-03-11-21-05,58
2014-03-11-21-05,60
2014-03-11-21-05,61
2014-03-11-21-05,73
2014-03-11-21-05,74
2014-03-11-21-05,75
2014-03-11-21-05,76
2014-03-11-21-05,78
2014-03-11-21-05,82
2014-03-11-21-05,83
2014-03-11-21-05,88
2014-03-11-21-05,9
2014-03-11-21-05,94
2014-03-11-21-06,13
2014-03-11-21-06,14
2014-03-11-21-06,17
2014-03-11-21-06,19
2014-03-11-21-06,2
2014-03-11-21-06,25
2014-03-11-21-06,27
2014-03-11-21-06,35
2014-03-11-21-06,40
2014-03-11-21-06,40
2014-03-11-21-06,42
2014-03-11-21-06,48
2014-03-11-21-06,50
2014-03-11-21-06,51
2014-03-11-21-06,51
2014-03-11-21-06,52
2014-03-11-21-06,56
2014-03-11-21-06,58
2014-03-11-21-06,59
2014-03-11-21-06,65
2014-03-11-21-06,66
2014-03-11-21-06,68
2014-03-11-21-06,69
2014-03-11-21-06,70
2014-03-11-21-06,77
2014-03-11-21-06,89
2014-03-11-21-06,99
2014-03-11-21-06,99
2014-03-11-21-06,99
2014-03-11-21-07,0
2014-03-11-21-07,100
2014-03-11-21-07,16
2014-03-11-21-07,20
2014-03-11-21-07,23
2014-03-11-21-07,24
2014-03-11-21-07,28
2014-03-11-21-07,30
2014-03-11-21-07,30
2014-03-11-21-07,4
2014-03-11-21-07,43
2014-03-11-21-07,46
2014-03-11-21-07,47
2014-03-11-21-07,54
2014-03-11-21-07,55
2014-03-11-21-07,55
2014-03-11-21-07,57
2014-03-11-21-07,57
2014-03-11-21-07,57
2014-03-11-21-07,58
2014-03-11-21-07,6
2014-03-11-21-07,68
2014-03-11-21-07,8
2014-03-11-21-07,86
2014-03-11-21-07,9
2014-03-11-21-07,97
2014-03-11-21-07,99
2014-03-11-21-08,14
2014-03-11-21-08,22
2014-03-11-21-08,25
2014-03-11-21-08,31
2014-03-11-21-08,33
2014-03-11-21-08,34
2014-03-11-21-08,40
2014-03-11-21-08,41
2014-03-11-21-08,42
2014-03-11-21-08,47
2014-03-11-21-08,49
2014-03-11-21-08,50
2014-03-11-21-08,55
2014-03-11-21-08,58
2014-03-11-21-08,63
2014-03-11-21-08,64
2014-03-11-21-08,68
2014-03-11-21-08,69
2014-03-11-21-08,71
2014-03-11-21-08,77
2014-03-11-21-08,82
2014-03-11-21-08,84
2014-03-11-21-08,89
2014-03-11-21-08,89
2014-03-11-21-08,9
2014-03-11-21-08,91
2014-03-11-21-08,91
2014-03-11-21-08,92
2014-03-11-21-08,94
2014-03-11-21-08,96
2014-03-11-21-08,97
2014-03-11-21-09,100
2014-03-11-21-09,100
2014-03-11-21-09,15
2014-03-11-21-09,15
2014-03-11-21-09,2
2014-03-11-21-09,25
2014-03-11-21-09,27
2014-03-11-21-09,28
2014-03-11-21-09,29
2014-03-11-21-09,33
2014-03-11-21-09,43
2014-03-11-21-09,46
2014-03-11-21-09,48
2014-03-11-21-09,49
2014-03-11-21-09,59
2014-03-11-21-09,62
2014-03-11-21-09,68
2014-03-11-21-09,7
2014-03-11-21-09,76
2014-03-11-21-09,81
2014-03-11-21-09,84
2014-03-11-21-09,86
2014-03-11-21-09,91
2014-03-11-21-10,18
2014-03-11-21-10,21
2014-03-11-21-10,22
2014-03-11-21-10,26
2014-03-11-21-10,28
2014-03-11-21-10,29
2014-03-11-21-10,3
2014-03-11-21-10,30
2014-03-11-21-10,32
2014-03-11-21-10,40
2014-03-11-21-10,47
2014-03-11-21-10,49
2014-03-11-21-10,51
2014-03-11-21-10,54
2014-03-11-21-10,58
2014-03-11-21-10,58
2014-03-11-21-10,63
2014-03-11-21-10,65
2014-03-11-21-10,66
2014-03-11-21-10,72
2014-03-11-21-10,72
2014-03-11-21-10,76
2014-03-11-21-10,85
2014-03-11-21-10,85
2014-03-11-21-10,87
2014-03-11-21-10,89
2014-03-11-21-10,94
2014-03-11-21-10,95
2014-03-11-21-10,99
2014-03-11-21-11,100
2014-03-11-21-11,100
2014-03-11-21-11,14
2014-03-11-21-11,16
2014-03-11-21-11,2
2014-03-11-21-11,24
2014-03-11-21-11,25
2014-03-11-21-11,28
2014-03-11-21-11,37
2014-03-11-21-11,43
2014-03-11-21-11,44
2014-03-11-21-11,45
2014-03-11-21-11,45
2014-03-11-21-11,5
2014-03-11-21-11,50
2014-03-11-21-11,60
2014-03-11-21-11,66
2014-03-11-21-11,67
2014-03-11-21-11,69
2014-03-11-21-11,72
2014-03-11-21-11,72
2014-03-11-21-11,75
2014-03-11-21-11,81
2014-03-11-21-11,90
2014-03-11-21-11,93
2014-03-11-21-11,96
2014-03-11-21-11,97
2014-03-11-21-11,97
2014-03-11-21-11,98
2014-03-11-21-11,99
2014-03-11-21-12,23
2014-03-11-21-12,36
2014-03-11-21-12,60
2014-03-11-21-12,61
2014-03-11-21-12,82
